URL_ID,Positive Score,Negative Score,Polarity Score,Subjectivity Score
Netclan20241017,10,0,0.99999990000001,0.04048582979560393
Netclan20241018,16,7,0.39130433081285515,0.04500978464773036
Netclan20241019,15,2,0.7647058373702448,0.059440559232725315
Netclan20241020,27,10,0.4594594470416366,0.07459677404315167
Netclan20241021,7,0,0.9999998571428775,0.027667984080363698
Netclan20241022,10,0,0.99999990000001,0.04048582979560393
Netclan20241023,16,7,0.39130433081285515,0.04500978464773036
Netclan20241024,15,2,0.7647058373702448,0.059440559232725315
Netclan20241025,27,10,0.4594594470416366,0.07459677404315167
Netclan20241026,56,22,0.4358974303090073,0.06836108670608143
Netclan20241027,18,7,0.4399999824000007,0.07374631246682503
Netclan20241028,26,3,0.7931034209274682,0.060924369619906785
Netclan20241029,24,4,0.7142856887755111,0.0707070705285175
Netclan20241030,17,4,0.6190475895691624,0.05511811009155352
Netclan20241031,65,16,0.6049382641365647,0.08446298218512724
Netclan20241032,12,1,0.8461537810650938,0.03951367769144779
Netclan20241033,44,7,0.7254901818531337,0.07993730394994153
Netclan20241034,10,3,0.5384614970414233,0.047619047444618874
Netclan20241035,20,7,0.48148146364883465,0.06683168300289187
Netclan20241036,24,7,0.5483870790842877,0.08469945332049329
Netclan20241037,15,1,0.8749999453125034,0.051612903059313216
Netclan20241038,15,1,0.8749999453125034,0.0484848483379247
Netclan20241039,15,1,0.8749999453125034,0.04984423660484662
Netclan20241040,20,0,0.9999999500000024,0.06269592456835134
Netclan20241041,21,1,0.9090908677685968,0.06769230748402368
Netclan20241042,15,7,0.36363634710743875,0.0643274851920249
Netclan20241043,14,0,0.9999999285714337,0.04334365311658312
Netclan20241044,22,0,0.9999999545454565,0.05188679233045568
Netclan20241045,17,4,0.6190475895691624,0.051597051470277516
Netclan20241046,26,4,0.7333333088888897,0.0609756096321634
Netclan20241047,13,2,0.7333332844444478,0.03989361691517655
Netclan20241048,52,14,0.5757575670339763,0.10749185650245625
Netclan20241049,19,2,0.8095237709750585,0.03571428565354713
Netclan20241050,24,5,0.655172391200952,0.07923497246110664
Netclan20241051,35,25,0.16666666388888896,0.05698005692594486
Netclan20241052,19,19,0.0,0.06260296530048935
Netclan20241053,22,6,0.5714285510204089,0.04494382015257814
Netclan20241054,17,1,0.8888888395061756,0.051282051135948574
Netclan20241055,50,3,0.886792436098256,0.09653916193708714
Netclan20241056,5,0,0.99999980000004,0.028571428408163266
Netclan20241057,14,1,0.8666666088888928,0.04658385078700668
Netclan20241058,14,0,0.9999999285714337,0.056224899372590766
Netclan20241059,9,0,0.9999998888889013,0.0297029701990001
Netclan20241060,16,3,0.684210490304711,0.06270627042011132
Netclan20241061,21,6,0.5555555349794246,0.08490566011035956
Netclan20241062,9,3,0.4999999583333368,0.035714285607993196
Netclan20241063,9,0,0.9999998888889013,0.03249097461194594
Netclan20241064,8,0,0.9999998750000157,0.03864734280846694
Netclan20241065,9,2,0.636363578512402,0.0536585363236169
Netclan20241066,9,0,0.9999998888889013,0.04411764684256055
Netclan20241067,11,1,0.8333332638888947,0.045283018697045214
Netclan20241068,15,0,0.9999999333333378,0.05208333315248843
Netclan20241069,8,1,0.7777776913580343,0.04245282998843005
Netclan20241070,8,1,0.7777776913580343,0.029801324404631378
Netclan20241071,13,5,0.4444444197530878,0.05294117631487889
Netclan20241072,15,6,0.4285714081632663,0.08536585331152093
Netclan20241073,15,3,0.6666666296296316,0.058441558251813124
Netclan20241074,15,3,0.6666666296296316,0.05232558124323959
Netclan20241075,9,3,0.4999999583333368,0.052401746496062246
Netclan20241076,8,0,0.9999998750000157,0.04166666644965278
Netclan20241077,8,2,0.599999940000006,0.0495049502499755
Netclan20241078,10,3,0.5384614970414233,0.062499999699519235
Netclan20241079,8,0,0.9999998750000157,0.039603960199980394
Netclan20241080,9,7,0.12499999218750048,0.06808510609325487
Netclan20241081,14,0,0.9999999285714337,0.04682274231831859
Netclan20241082,15,3,0.6666666296296316,0.05373134312319002
Netclan20241083,12,3,0.5999999600000027,0.04504504490977464
Netclan20241084,25,12,0.35135134185536915,0.09511568098941985
Netclan20241085,12,1,0.8461537810650938,0.038123167043627074
Netclan20241086,16,0,0.9999999375000038,0.0531561460028035
Netclan20241087,30,4,0.7647058598615925,0.059753954200783915
Netclan20241088,9,2,0.636363578512402,0.04263565874947419
Netclan20241089,10,0,0.99999990000001,0.03154574122540776
Netclan20241090,7,1,0.7499999062500118,0.043010752456931436
Netclan20241091,12,2,0.7142856632653098,0.04878048763491119
Netclan20241092,9,2,0.636363578512402,0.0378006871553241
Netclan20241093,1,2,-0.33333322222225925,0.016304347737476372
Netclan20241094,7,5,0.16666665277777895,0.05084745741166331
Netclan20241095,9,2,0.636363578512402,0.0536585363236169
Netclan20241096,3,1,0.49999987500003124,0.013289036500700875
Netclan20241097,7,0,0.9999998571428775,0.03825136591119472
Netclan20241098,9,1,0.7999999200000081,0.07692307633136096
Netclan20241099,10,5,0.3333333111111126,0.05119453907442137
Netclan20241100,15,2,0.7647058373702448,0.054313098868009266
Netclan20241101,6,0,0.9999998333333611,0.021660649741297295
Netclan20241102,5,0,0.99999980000004,0.03968253936759889
Netclan20241103,2,3,-0.199999960000008,0.026315789335180056
Netclan20241104,3,1,0.49999987500003124,0.016326530545605997
Netclan20241105,1,0,0.9999990000010001,0.003968253952506929
Netclan20241106,8,1,0.7777776913580343,0.054545454214876034
Netclan20241107,6,5,0.09090908264462885,0.04471544697270143
Netclan20241108,20,2,0.8181817809917372,0.041353383380914696
Netclan20241109,22,1,0.9130434385633287,0.040350877122191445
Netclan20241110,6,0,0.9999998333333611,0.03468208072438104
Netclan20241111,9,2,0.636363578512402,0.041666666508838386
Netclan20241112,9,2,0.636363578512402,0.050925925690157754
Netclan20241113,4,4,0.0,0.041237113189499415
Netclan20241114,2,1,0.33333322222225925,0.023076922899408287
Netclan20241115,11,1,0.8333332638888947,0.03883495133063122
Netclan20241116,6,0,0.9999998333333611,0.024489795818409
Netclan20241117,9,2,0.636363578512402,0.03886925781318284
Netclan20241118,6,1,0.7142856122449125,0.035897435713346484
Netclan20241119,8,2,0.599999940000006,0.03558718848545485
Netclan20241120,6,0,0.9999998333333611,0.0389610387080452
Netclan20241121,38,5,0.7674418426176316,0.08548707736483682
Netclan20241122,10,0,0.99999990000001,0.032051281948553584
Netclan20241123,6,0,0.9999998333333611,0.01941747566531561
Netclan20241124,10,0,0.99999990000001,0.046948356587096916
Netclan20241125,6,4,0.19999998000000202,0.060240963492524315
Netclan20241126,11,3,0.5714285306122479,0.047457626957770754
Netclan20241127,5,0,0.99999980000004,0.016778523433629115
Netclan20241128,11,1,0.8333332638888947,0.04562737625236739
Netclan20241129,20,0,0.9999999500000024,0.06896551700356718
Netclan20241130,6,0,0.9999998333333611,0.032967032785895425
Netclan20241131,11,2,0.6923076390532585,0.0548523204436611
Netclan20241132,6,0,0.9999998333333611,0.02857142843537415
Netclan20241133,30,20,0.1999999960000001,0.05574136002704419
Netclan20241134,6,0,0.9999998333333611,0.021582733735313907
Netclan20241135,5,0,0.99999980000004,0.02232142847177934
Netclan20241136,7,0,0.9999998571428775,0.03553299474348734
Netclan20241137,10,0,0.99999990000001,0.049751243533575906
Netclan20241138,7,2,0.5555554938271674,0.04945054917884314
Netclan20241139,7,3,0.39999996000000404,0.05291005263010554
Netclan20241140,7,1,0.7499999062500118,0.04347826063327032
Netclan20241141,14,7,0.3333333174603182,0.0648148146147691
Netclan20241142,1,0,0.9999990000010001,0.008620689580856124
Netclan20241143,4,8,-0.3333333055555579,0.04195804181133552
Netclan20241144,8,2,0.599999940000006,0.07518796935948896
Netclan20241145,12,2,0.7142856632653098,0.06542056044196
Netclan20241146,9,4,0.3846153550295881,0.055084745529301926
Netclan20241147,5,0,0.99999980000004,0.024999999875
Netclan20241148,8,1,0.7777776913580343,0.030927834945265173
Netclan20241149,3,0,0.9999996666667778,0.020134228052790415
Netclan20241150,7,1,0.7499999062500118,0.03686635927711355
Netclan20241151,8,0,0.9999998750000157,0.03773584887860449
Netclan20241152,8,0,0.9999998750000157,0.0380952379138322
Netclan20241153,8,0,0.9999998750000157,0.03703703686556927
Netclan20241154,6,0,0.9999998333333611,0.02999999985
Netclan20241155,8,0,0.9999998750000157,0.03940886680094154
Netclan20241156,7,1,0.7499999062500118,0.037209302152514875
Netclan20241157,16,9,0.27999998880000043,0.0388198757161182
Netclan20241158,14,5,0.47368418559556913,0.048223350131412816
Netclan20241159,17,9,0.30769229585798863,0.04262295074979844
Netclan20241160,25,17,0.1904761859410432,0.04640883972772504
Netclan20241161,11,6,0.2941176297577865,0.06967213086199947
Netclan20241162,5,0,0.99999980000004,0.033557046754650696
Netclan20241163,7,0,0.9999998571428775,0.035897435713346484
